community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Oliver,2023,1576,423,456,693,558,578,733
Merritt,2018,1549,421,432,696,498,541,652
Osoyoos,2024,1522,418,424,673,510,520,694
Sidney,2022,2210,417,613,1175,502,611,794
View Royal,2021,1512,417,467,628,599,672,980
Gibsons,2023,1693,416,557,712,490,568,794
Squamish,2022,1743,416,573,739,629,683,956
Squamish,2023,1628,414,563,637,636,722,976
Lake Country,2023,1320,412,409,494,757,850,"1,251"
Pitt Meadows,2020,1608,412,448,748,676,867,"1,259"
Trail,2022,1611,411,499,691,546,686,826
Central Saanich,2018,1651,409,408,834,560,644,817
Merritt,2021,1540,406,453,681,467,503,618
View Royal,2019,1528,406,400,722,556,597,981
Sooke,2019,1494,404,415,675,487,529,708
Revelstoke,2023,1054,403,298,350,330,574,947
Port Moody,2019,1580,396,483,701,696,895,"1,351"
Comox,2022,1625,395,535,684,720,841,"1,173"
Whistler,2024,1841,393,536,895,621,739,"1,018"
Agassiz,2023,1332,392,423,505,702,743,945
Central Saanich,2022,1869,392,610,859,699,822,"1,105"
Merritt,2022,1470,392,479,591,481,561,683
Port Hardy,2020,1188,392,290,506,444,545,654
Squamish,2020,1575,390,451,734,540,595,790
Sooke,2020,1578,389,469,720,556,566,748
Port Moody,2018,1656,386,502,768,698,850,"1,313"
Port Moody,2020,1662,385,528,749,718,929,"1,403"
Smithers,2024,1114,385,329,392,492,560,768
North Saanich,2024,1243,384,349,498,787,941,"1,294"
Ladysmith,2022,1528,382,481,661,675,801,"1,070"
Pitt Meadows,2019,1566,382,494,690,664,816,"1,207"
Comox,2019,1714,381,500,833,662,730,945
Sechelt,2021,1968,380,581,1007,552,595,729
Central Saanich,2020,1806,376,514,916,602,654,854
Summerland,2023,1451,376,442,627,521,599,743
Dawson Creek,2021,1675,375,495,805,442,524,677
Oak Bay,2019,1969,375,608,986,569,637,"1,056"
Sidney,2018,1961,375,519,1067,414,465,576
Hope,2020,1548,372,404,772,548,609,711
Oliver,2022,1442,371,432,633,634,676,877
Sooke,2018,1418,370,403,645,532,554,704
Smithers,2023,1142,369,340,428,465,573,751
Sidney,2021,2002,366,570,1066,457,541,674
Comox,2018,1585,364,444,777,688,722,906
Trail,2021,1593,364,454,775,510,582,762
Central Saanich,2021,1885,362,570,953,667,755,"1,000"
Sidney,2019,1999,362,527,1110,421,485,605
View Royal,2018,1355,362,371,622,533,630,944
Sidney,2020,2021,361,585,1075,493,523,685
View Royal,2020,1380,361,371,648,596,654,953
Comox,2021,1659,360,475,824,692,741,"1,005"
Hope,2019,1408,360,386,662,553,587,726
Oliver,2021,1526,360,407,759,610,686,775
Nelson,2022,1502,359,461,670,529,566,723
Oak Bay,2018,1946,357,599,990,599,647,"1,091"
Creston,2024,1241,355,342,537,468,522,721
Whistler,2022,1832,355,483,973,610,677,898
Colwood,2021,1466,351,424,691,595,702,"1,082"
Ladysmith,2021,1571,351,460,760,599,634,812
Pitt Meadows,2018,1580,350,439,791,681,827,"1,167"
Gibsons,2022,1522,346,501,662,514,657,823
Oak Bay,2022,1603,346,536,710,625,794,"1,483"
Ladysmith,2018,1422,344,385,693,605,624,749
Summerland,2022,1608,343,566,690,580,666,877
Ladysmith,2019,1441,340,367,734,634,638,790
Colwood,2020,1394,339,391,664,595,692,948
Osoyoos,2023,1381,333,430,614,538,600,690
Agassiz,2022,1255,331,430,481,776,919,"1,058"
Merritt,2020,1454,331,440,683,473,520,616
Agassiz,2021,1238,328,364,546,693,862,939
Squamish,2019,1467,328,439,700,566,577,759
Whistler,2023,1847,328,515,982,587,661,954
Gibsons,2019,1413,326,427,660,466,523,629
Whistler,2019,2035,326,430,1279,576,596,738
Sechelt,2020,1725,324,524,877,508,561,692
Dawson Creek,2020,1397,323,377,697,446,476,571
Kitimat,2024,1109,323,317,465,529,583,668
Ladysmith,2020,1447,323,409,715,614,670,861
Hope,2018,1300,321,359,620,560,615,748
Comox,2020,1578,317,487,774,692,757,"1,016"
Dawson Creek,2019,1455,317,418,720,413,478,553
Colwood,2019,1367,316,419,632,556,657,943
Salt Spring Island,2024,1062,315,271,468,659,802,"1,045"
Lake Country,2022,1177,314,389,453,950,"1,005","1,282"
Colwood,2018,1299,312,397,590,587,660,933
Oliver,2019,1266,311,311,644,529,540,603
Sechelt,2019,1566,311,460,795,511,529,665
Lake Country,2021,1259,308,385,566,775,806,994
Oak Bay,2020,1731,302,561,868,572,674,"1,132"
Summerland,2021,1464,302,416,746,564,595,724
Osoyoos,2021,1324,301,379,644,505,498,613
Grand Forks,2024,981,294,279,407,515,521,746
Lake Country,2019,1072,294,309,469,697,614,971
North Saanich,2023,1147,294,374,473,799,888,"1,221"
Agassiz,2019,1180,293,325,562,658,650,739
Squamish,2018,1377,293,408,676,601,605,765
Chemainus,2024,880,292,234,351,569,671,858
Summerland,2018,1465,291,431,743,517,539,596
Nelson,2019,1375,290,368,717,464,519,639
Coldstream,2024,745,289,193,261,756,857,"1,271"
Oliver,2020,1288,288,322,678,562,589,694
Kimberley,2024,1054,285,297,469,555,715,932
Trail,2018,1297,285,332,680,535,583,706
Cobble Hill,2024,813,283,197,330,846,935,"1,232"
Enderby,2024,905,283,241,377,728,667,"1,008"
Sechelt,2018,1444,283,394,767,497,556,704
Summerland,2020,1415,282,413,720,544,576,677
Osoyoos,2022,1368,281,432,649,557,616,739
Lake Country,2020,1173,280,342,551,670,707,946
Nelson,2018,1318,279,338,701,462,513,623
Oliver,2018,1253,279,329,645,531,532,610
Castlegar,2022,1154,277,362,503,641,664,823
Nelson,2021,1298,277,343,678,460,573,648
Creston,2022,1170,276,339,550,450,500,596
Peachland,2024,706,276,161,266,694,756,948
Whistler,2021,1505,276,374,855,585,617,795
Gibsons,2018,1356,275,398,683,486,515,658
Trail,2020,1318,275,375,668,537,577,727
North Saanich,2022,1108,273,374,457,753,852,"1,143"
Castlegar,2024,1086,271,296,516,548,645,831
